Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	DIA_1_S5-B1_1_12203.d	DIA_2_S5-C1_1_12204.d	DIA_3_S5-D1_1_12205.d	DIA_4_S5-E1_1_12206.d	DIA_5_S5-F1_1_12207.d	DIA_6_S5-G1_1_12208.d	DIA_7_S5-A2_1_12209.d	DIA_8_S5-B2_1_12210.d	DIA_9_S5-C2_1_12211.d	DIA_10_S5-D2_1_12212.d	DIA_11_S5-E2_1_12213.d	DIA_12_S5-F2_1_12214.d	DIA_13_S5-G2_1_12215.d	DIA_14_S5-A3_1_12216.d	DIA_15_S5-B3_1_12217.d	DIA_16_S5-C3_1_12218.d	DIA_17_S5-D3_1_12219.d	DIA_18_S5-E3_1_12220.d	DIA_19_S5-F3_1_12221.d	DIA_20_S5-G3_1_12222.d	DIA_21_S5-A4_1_12223.d	DIA_22_S5-B4_1_12224.d	DIA_23_S5-C4_1_12225.d	DIA_24_S5-D4_1_12226.d	DIA_25_S5-E4_1_12227.d	DIA_26_S5-F4_1_12228.d	DIA_27_S5-G4_1_12229.d	DIA_28_S5-A5_1_12230.d	DIA_29_S5-B5_1_12231.d	DIA_30_S5-C5_1_12232.d	DIA_31_S5-D5_1_12233.d	DIA_32_S5-E5_1_12234.d	DIA_33_S5-F5_1_12235.d	DIA_34_S5-G5_1_12236.d	DIA_35_S5-A6_1_12237.d	DIA_36_S5-B6_1_12238.d	DIA_37_S5-C6_1_12239.d	DIA_38_S5-D6_1_12240.d	DIA_39_S5-E6_1_12241.d	DIA_40_S5-F6_1_12242.d	DIA_41_S5-G6_1_12243.d	DIA_42_S5-A7_1_12244.d	DIA_43_S5-B7_1_12245.d	DIA_44_S5-C7_1_12246.d	DIA_45_S5-D7_1_12247.d	DIA_46_S5-E7_1_12248.d	DIA_47_S5-F7_1_12249.d	DIA_48_S6-B1_1_12252.d	DIA_49_S6-C1_1_12253.d	DIA_50_S6-D1_1_12254.d	DIA_51_S6-E1_1_12255.d	DIA_52_S6-F1_1_12256.d	DIA_53_S6-G1_1_12257.d	DIA_54_S6-A2_1_12258.d	DIA_55_S6-B2_1_12259.d	DIA_56_S6-C2_1_12260.d	DIA_57_S6-D2_1_12261.d	DIA_58_S6-E2_1_12262.d	DIA_59_S6-F2_1_12263.d	DIA_60_S6-G2_1_12264.d	DIA_61_S6-A3_1_12265.d	DIA_62_S6-B3_1_12266.d	DIA_63_S6-C3_1_12267.d	DIA_64_S6-D3_1_12268.d	DIA_65_S6-E3_1_12269.d	DIA_66_S6-F3_1_12270.d	DIA_67_S6-G3_1_12271.d	DIA_68_S6-A4_1_12272.d	DIA_69_S6-B4_1_12273.d	DIA_70_S6-C4_1_12274.d	DIA_71_S6-D4_1_12275.d	DIA_72_S6-E4_1_12276.d	DIA_73_S6-F4_1_12277.d	DIA_74_S6-G4_1_12278.d	DIA_75_S6-A5_1_12279.d	DIA_76_S6-B5_1_12280.d	DIA_77_S6-C5_1_12281.d	DIA_78_S6-D5_1_12282.d	DIA_79_S6-E5_1_12283.d	DIA_80_S6-F5_1_12284.d	DIA_81_S6-G5_1_12285.d	DIA_82_S6-A6_1_12286.d	DIA_83_S6-B6_1_12287.d	DIA_84_S6-C6_1_12288.d	DIA_85_S6-D6_1_12289.d	DIA_86_S6-E6_1_12290.d	DIA_87_S6-F6_1_12291.d	DIA_88_S6-G6_1_12292.d	DIA_89_S6-A7_1_12293.d	DIA_90_S6-B7_1_12294.d	DIA_91_S6-C7_1_12295.d	DIA_92_S6-D7_1_12296.d	DIA_93_S6-E7_1_12297.d	DIA_94_S6-F7_1_12298.d	DIA_95_S6-G7_1_12299.d	DIA_96_S6-A8_1_12300.d	DIA_97_S6-B8_1_12301.d	DIA_98_S6-C8_1_12302.d	DIA_Pool1_S5-A1_1_12202.d	DIA_Pool2_S5-G7_1_12250.d	DIA_Pool3_S6-A1_1_12251.d	DIA_Pool4_S6-D8_1_12303.d
P19971	P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase	2011.07	3008.62					2946.28	3480.1			355.887	1820.34			4027.4			1254.36							2527.04											2337.78			4000.83	1501.72	2398.07															1137.28	761.962			1258.76				1124.92						1339.09	1251.2		2481.06	2846.49			563.015			1264.86				3091.35						1625.44		3000.61	673.655	4509.92	684.026		2485.98			1342.12		
P20042	P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2				57.138		245.205			231.473	433.219					385.329			313.551							204.35											314.785	298.413			501.877	668.964		343.641	267.643									548.656		900.047				341.543		415.331		938.937	452.437			581.306				212.698					167.56			72.9685	402.865	375.302		269.333			322.401						534.196			260.443		169.325	830.809		571.689	233.385	148.459
P20061	P20061	TCO1_HUMAN	TCN1	Transcobalamin-1	5511.3	4643.02	6883.4	6757.34	6692.7	5323.3	5634.94	5311.06	10337.6	7223.42	4524.8	5925.91	7006.58	6924.11	5579.19	7651.3	6952.54	13157	6150.25	4124.76	8030.15	6261.09	8693.42	5833.49	5667.61	8044.44	5872.33	7462.25	4379.82	9382.38	15445.9	10177.7	8790.14	8154.87	5297.93	6819.16	4228.93	6628.39	7295.04	7399.17	9906.51	5445.82	7652.6	6895.89	6648.36	6884.15	4516.42	5964.32	7194.42	5362.14	4105.17	5416.71	4842.97	4513.69	3236.9	10308.9	6950.75	7087.28	5323.79	4921.67	5367.33	9280.12	5315.38	7070.97	6342.7	5982.99	4470.73	7089.33	4057.14	4665.47	6835.34	5067.6	8468.68	5892.46	6475.77	2826.91	3843.11	4924.12	6052.62	4558.33	6608.11	6369.4	6829.46	6460.41	6609.18	6180.97	4491.8	7754.09	6543.28	7229.74	7339.58	4653.42	7744.08	8967.08	5603.29	9748.13	5958.42	5657.21	6045.57	6025.93	6846.32	6348.19
P20742	P20742	PZP_HUMAN	PZP	Pregnancy zone protein	3528.5	3379.22	4184.97	3199.07	2464.39	5194.83	4881.83	4638.88	2645.04	4778.75	18187.5	5924.05	1667.85	1463.74	18672.3	5998.27		4274.27	8136.63	5389.14	2085.38	4542.59	1703.53		3280.51	1709.68	3499.1	2425.71	2440.08	3575.59	2475.63	2690.7	4960.32	5920.9		1523.71	760.399	1778.73	3208.14	5144.79	5076.42	1337.78	4975.89			1109.54	8865.92	4635.37	3621.45	3349.64	6971.41	3510.9	33917.1		2564.03	3069.24	14305.5	4032.58	6577.07	2826.13	6774.84	4927.46		7833.29	3576.03	1977.95	5563.9	5442.99	2962.94	4453.54		1643.11	3734.78	4333.12	2629.83	4371.1	16707.6	21186.1	5571.08	3250.96	17571.7	2702.95	4588.24	4413.19	3426.36	4204.94	9327.97	6322.42	2992.96	2922	4999.52	27892	3545.14	7122.16	3522.96	5686.69	6079.11	3147.91	5689.13	3892.39	4501.89	3774.42
P20774	P20774	MIME_HUMAN	OGN	Mimecan	15756	16929.6	22277	18173.5	15775.9	17748.8	16367.7	23412.1	14153.6	12262.6	19591.9	10535.7	16480.6	15720.3	6527.2	16531.2	8720.13	15530	20777.7	12752.3	15628.7	13036.3	13968.7	11303.1	10941.9	14354	16283.6	18119.9	18507.6	12166.2		11497.9	17507.3	16107.2	10268.5	15857.6	13646.6	14880	20433.2	22112.1	33467.7	15952.7	17960.7	17255.4	10665.3	14217.8	13061.5	14528.9	18055.2	23001.5	11216.5	19184.3	10526		17240.7	15781.7	14238.3	17217.9	13351.8	16642.7	14510.9	18006.6	17238.4	15744.4	20410.5	9837	12018	16478.8	15499.1	16832.6	13854.2	19335.6	19696.6	8097.83	13545	7856.22	5796.21	15411	13552.2	17237.8	17069.8	18158.8	22118.8	16356.3	14014.5	16240.6	10955.4	16619.9	15096.4	14295.6	15084.8	7697.44	16944.6	14567.3	18509.7	12236.9	18916	21642.9	13975.6	16227	18354.6	18296.9
P20810	P20810	ICAL_HUMAN	CAST	Calpastatin	10001.1	13191.9	9953.05	13546.5	13727.8	26135.6	9276.67	10768.9	11972.6	38589.6	11757.8	12161	14513.7	11330.6	28261.6	14910.1	16013.3	22841.1	13816.7	19537.1	17352.5	13012.5	13982.3	12482.5	17549.6	14113.1	20943.9	17126.8	18860.6	11243.5	12455	17069.1	13279.7	13819.3	10496.8	12372.8	61529.3	19413.8	16402.2	18022.1	29060.4	13699.6	10198.4	22438.3	12144.9	15789.5	9499.15	17084.4	17919.4	18153.4	12911	14879.3	19392.9		33510.5	16405.5	17099.6	12791.3	24378.7	18228.5	18853.8	22421.3	22611.5	26931.5	12801.6	21458.1	33873.1	16497.4	17821	17652.7	18992.9	16053.9	17467.4	16201.3	9542.15	6449.72	5117.27	12345.4	16917.3	31175.7	16283.7	12791.5	16199.8	14313.9	22704.2	17787.4	17500.8	10471.4	13949.3	17298.9	16596.8	40507.1	11618.2	15460.7	14548.7	16313.4	14273.9	34390.1	13827	19254.8	18095.8	18830.4
P20827	P20827	EFNA1_HUMAN	EFNA1	Ephrin-A1	3001.89	2109.14	4782.65	4450.06	4086	6299.31	2981.23	3595.22	2411.39	1900.05	3714.73	2638.6	3470.07	3202.43	1653.1	2277.99		2469.82	1975.26	2812.99	3990.74	1825.61	2584.57		2751.77	3385.76	2816.32	2910.06	3326.52	1868.53		2589.87	1713.87	2232.79	1595.56		3123.91	917.964	3181.24	2274.21	3034.65	3456.44	1118.14	1549.62		2616.48		3098.25	2610.62	3822.01	3499.96	3067.06	2497.89		3968.76	2221.04	3407.22	3554.37	2529.04	2178.58	2370.57	2797.69	3712.98	2241.75	3457.99	3783.87	2365.15	2315.44	3980.78	2006.38	3379.67	2308.77	3039.89		1792.03	2147.2		3387.35	2019.09	2207.39	3040.84	3574.72	4716.52	3451.79	2288.92	2206.78	2973.83	3743.71	3133.55	2185.95	3894.18	3554.69	2371.59	3741.91	2079.4	3220.07	2094.47	3049.38	3410.08	2978.93	2801.32	2787.53
P20908	P20908	CO5A1_HUMAN	COL5A1	Collagen alpha-1(V) chain	3344.55		1895.73	4098.49	7931.17	5426.91	7607.96	2044.86	3133.59	5570.21	1646.5	2204.43	5981.41			5050.27	4875.13		17688.6	5402.27	1394.58	9398.51	2636.57		4030.23	2780.73	4672.05	4909.67	5507.27	5554.93			3794.05	3367.36	5294.74		1325.89	7230.12	1862.63	41134	1993.49	3082.72	5174.73	941.525	3941.98	25428.8	5536.69		1980	2356.97	1139.24	2908.36			1821.95	2364.11	2485.09	2268.03	1430.79	4449.85	4017.11	1175.52		1447.96		2299.17	3287.74	1493.34	2095.48	2259.83	1501.83	1103	1680.03	4006.28							1126.6	2164.22	1536.61		1024.03	880.099	1754.85	2194.8	1864.64		1026.91	1965.36			1762.53	3711.83		853.048	3473.18	4694.94	2744.04	1447.63
P20929	P20929	NEBU_HUMAN	NEB	Nebulin	190496	433301	263032	234087	386178	284046	237097	247393	271500	405256	202606	299348	263458	383024	306892	291837	381279	254654	236359	258233	282124	269877	444013	293428	302726	357095	301541	273464	365618	312794	2.21E+06	253829	338581	283602	343037	310171	290176	431173	282751	186255	198270	365025	388267	352910	449127	336241	323869	355404	362003	423116	215604	291932	279663	5.12E+06	308539	316314	355917	338971	414302	268956	348359	369049	301149	320672	293127	335002	342551	409403	318735	202447	392842	331246	249438	329833	239081	169556	86778.6	232903	191651	255325	216712	280450	289672	298856	243748	255447	238814	233475	260864	253542	234565	225407	255037	259605	219523	273006	224482	214946	216592	283215	328204	233433
P20930	P20930	FILA_HUMAN	FLG	Filaggrin	39036.8	14503.1	12173.4	15789	4812.35	9520.22	19721	8441.15	13236.9	40460.8	16590.4	8853.62	14272.7	11886.2	12897.2	13141.3	14801.4	15404.2	16869.4	15486.6	21748.8	15136.4	12271.4	9599.94	35197.9	14072.2	8708.27	12706.7	7147.2	12277.6		14968.1	16226.8	15443.7		18307	14569.9	18080.3	10415.4	8354.63		27011.7	27177.9	20007.5	9532.53	9134.27	11309.9	12436.7	15436.7	18628.2	16962.1	9096.69	16725.6		14388.2	12433	8494.71	13397.2	17014.4	17231.7	10499.3	26457.2	18583.7	13547.2	17221.8	10354	19496.7	19968.6	18663.1	21870.4	9687.22	18944.2	16558.1	25881	13182	7616.7	7544.66	6602.69	10738.4	13785.9	12749.3	15109.3	21275.5	17698	72198.1	15922.1	20253.7	31507.6	15905.7	17324.6	13271.5	13729.8	16463.8	17421.8	15456.4	14916.6	19616.1	11087.7	9171.6	13998.2	19283.5	12021.7
P20933	P20933	ASPG_HUMAN	AGA	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	864.717	1947.2		837					837.849	562.701			620.714			988.418		709.804	424.732				1731.96			384.794								762.736		644.315			1341.81	427.943		724.508						980.614			763.287		1094.83		466.999	723.326		946.498	1096.22	651.868	896.897	1174.49			1135.03	1003.53		1005.05	888.588					870.591	2252.51	550.917				1113.5		826.492	1328.08	1498.66	1687.6				984.628		496.589	1608.05					1109.34	744.127	702.369		581.759	823.567
P20962	P20962	PTMS_HUMAN	PTMS	Parathymosin	958.351	5515.53	2098.29	2515.01	1701.31	6084.71	854.288	1497.01	1921.66	1689.52	1411.51	803.96	2107.28	1116.88	3666.04	2069.16	10418.5	2340.37	1560.97	4473.8	4930.32	687.222	1407.01	1234.03	2872.72		2006.96	1396.66	2600.38			1061.4		925.976		9908.42	5297.88	952.298	1827.12	2358.73	2629.85	1222.73	967.18	3561.1		946.175		2891.74	2036.17	1447.06	977.662	1313.62	4589.24		3366.13		1066.77		3797.68	2854.28	9621.65	1485.7	4252.52	6183.7	2076.61	578.21	5105.21	1285.21	4216.91	1775.96	2848.18	1191.38	1836.76			1144.82		5394.65	1179.49	11686.8	2555.43	1516.36	1978.57	1307.07	2851.19	1396.29	3058.73		1906.23	2363.96	1522.74	6190.31	819.103	907.286	1095.82	2211.91	703.61	2892.22	3179.92	2664.57	1742.43	2752.67
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	10311.4	13237.7	13513.6	11417.8	6055.18	14825.8	10469.2	10693.4	11348.8	8735.23	18543.6	14271.8	11370.4	6328.14	10725.1	7488.44	8203.29	10551.8	16084.5	12054.4	11912.4	6942.08	7580.83	6389.48	10345.1	7777.92	12132.2	10769.8	5431.79	7416.7		7452.54	8821.96	10332.2	10486.2	12339.1	9055.16	8114.15	9015.73	14455.7	20460.3	9052.58	7775.74	11931		7429.08	16615.8	8478.3	12264.5	13378.6	10108.3	8272.88	15113.4		16502.3	12138.4	9115.08	8629.4	12013.5	9549.89	8292.57	9244.5	11546.2	11514.6	7345.94	11398.5	14371.4	12105.7	12417	7239.95	11185.3	6791.43	10453.8	10898.5	10948.8	15006.7	11709.1	25665.7	10820.4	19026	14832.9	9227.05	9727.87	7328.73	12823.2	10270.5	11983.3	12711	12528.1	10119.8	11571.5	9745.98	7571.48	12804.1	10890.8	11357.5	9490.65	12072.7	13089	13905.8	9579.12	9275.71
P21583	P21583	SCF_HUMAN	KITLG	Kit ligand	6789.78	6106.39	8705.08	9594.84	4936.07	9768.06	11109.6	9933.03	7948.35	6436.62	13320	10985.6	8090.24	8679.65	4131.15	11332.7	7299.64	9185.25	11240.6	7925.81	7398.36	8845.99	14723.1	11412.3	4413.08	10924.1	10392	11780.4	13437.1	12466.9		11008.1	8852.14	10835.8	10613.2	8729.36	8722.9	11089.9	9625.62	13091.2	4578.11	5707.78	7188.02	9801.12	7635.52	10796.9	4989.14	6976.3	7287.75	9918	3279.91	12884.3	5430.64		10847.8	9196.17	11487.9	12139.3	8909.62	14386.6	8035.79	12200.3	13823.2	8721.52	9944.16	9284.74	4594.83	8489.48	12318.7	8235.4	5912.62	9416.26	14109.6	5529.41	7798.44	3405.94	3093.93	4748.09	8607.48	9681.86	6937.58	7116.15	6388.21	7624.92	5524.65	3954.23	5864.22	13915.6	5842.38	11450.8	8524.93	4718.05	10554.4	9866.33	6917.12	9896.37	9552.37	10074.6	7001.51	10307.2	12115.8	9605.21
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	252.909		457.051	333.884				313.298	252.881	408.625					339.15										474.419				247.071																																																	391.421							1520.46			315.114														
P21802	P21802	FGFR2_HUMAN	FGFR2	Fibroblast growth factor receptor 2	417332	300211	374966	298991	418081	344682	476108	272583	366362	311840	246922	332156	323371	439556	218019	354281	387972	406175	356418	248362	346147	371259	455244	531223	319088	489989	421668	386669	475693	351825	420384	463758	374677	377621	466255	275050	400183	533186	471766	296941	365287	393719	412590	369600	453593	295498	395798	351582	373731	405285	232168	408645	279676		464898	279624	242027	454061	271269	451007	411811	550913	345383	410691	373815	355674	343306	451875	359036	329223	332420	421108	369508	418112	282779	152895	110578	209776	244202	324412	294052	337625	330539	362889	408131	393512	276603	485208	391063	310400	280039	238370	316185	458012	454787	411490	383383	440195	376688	442656	371688	352100
P21817	P21817	RYR1_HUMAN	RYR1	Ryanodine receptor 1	5676.22	4555.33	5642.92	4523.66	3703.42	5078.16	3496.34	4052.19		3830.2	4158.44		2677.14	2749.37	1643.51	5432.97	1883.26		3329.73	3505.58		5073.91	4435.32			4539.39		4247.06	3445.33	4942.06		3781.37	3541.77		2549.59	1948.51	5759.68	4416.7		2709.05	1751.96	3401.17	3094.31	3978.62	1782.06	2391.92	6084.11	4753.54	4819.97		3323.54	8010.67	4099.94		5056.1	7925.93	3586.48	4551.77	5087.16	4791.73	5237.81		9603.47			4898.18	4996.67	5948.32		4948.98	7539.97	3473.28	6057.63	9179.94		4269.52	3293.76	6540.7	7939.43	6657.48	4195.7	5978.03	5014.25			5719.99	5682.48	5609.22	5483.89	5062.54		4559.41	3870.99	10340.6	9008.61		4752.04		6155.87		7745.76	5108.31
P22102	P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	255.016				306.232																																				1920.82																								108.571												95.403				227.486			261.178														468.895	676.515			
P22105	P22105	TENX_HUMAN	TNXB	Tenascin-X	7468.63	10155	11671	8762.84	10186.7	9998.25	9816.38	11244	8225.75	7496.32	8939.02	8146.9	8324.19	5456.68	6166.24	9442.4	4598.57	8358.94	11851.7	8684.93	9674.49	9562.21	6848.36	3013.52	8633.08	9043.02	9607.48	5022.04	7284.73	9210.44		8651.08	7145.6	9076.46	7399.04	14977	9372.61	7019.39	12608.4	8578.73	15612.7	7020.69	7007.93	6414.84	7647.75	8926.62	8063.29	11587.3	9279.19	8979.24	7001.04	12315.9	7099.66		8142.05	7855.51	12791.7	9187.05	14533	10413.5	13290.4		13957.5	9195.83	12551.4	6208.81	9479.04	13409.6	12677	10820	9823.1	10657.8	12966.1	6236.42	8110.02	9244.19	12686.3	11591.6	7436.27	11435.6	16854.3	10219.5	14436	15240	9995.32	9721.74	8654.47	12312.2	8019.92	10122.7	11239.4	8404.02	9107.5	8793.82	8827.17	9515.75	14281.5	12688.8	9083.26	8439.79	11255.6	9013.9
P22234	P22234	PUR6_HUMAN	PAICS	Multifunctional protein ADE2						871.966				377.779					326.476			381.736										532.896							344.103	429.283					710.762			844.912																						607.948																							207.667			322.574										
P22314	P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1		1008.49		526.273	1228.49	1352.76	995.019	1439.9					1773.04		658.815			842.658		2291.22					819.628			1495.48						894.959					1520.17	1152.28	776.231	1031.49								2325.13		2223.68			2123.16		1413.54	2069.44	778.549		1893.05			2959.63		2917.22	768.849	1429.19	1960.84		1245.96	1141.02	1464.15	1420.33	2353.08		1206.25	1166.26				1448.74					733.894	3255.74		1802.36	1666.7	652.63	1539.27	2786.92	2518.1	1683.44	1255.26	1555.85	553.285	739.284		1071.92
P22352	P22352	GPX3_HUMAN	GPX3	Glutathione peroxidase 3	3374.76	3699.43	2748.77	3254.34	2088.31	4158.44	2670.17	3154.03	1734.86	1988.84	29011.5	2877.32	2497.85	1708.46	2115.83	1779.89	1922.49	1760.66	1646.88	2474.51	2464.24	3022.5	1729.69	2984.86	1649.88	2237.83	2673.7	1431.44	808.616	2206.01		1817.25	1157.69	1701.93	1639.57	1126.28	1686.81	1364.42	1905.05	3209.08	2612.1	1949.28	1043.08	2033.78	3191.59	1159.33	3794.1	1931.41	2026.41	1303.31	1918.54	1226.51	1904.62		1367.65	4899.33	2164.08		2020.52	2809.41	1789.96	1268.95	1192.69	1964.55	1097.77	2746.79	2120.44	1566.81	1141.63	1626.9	1429.54	1298.13	1536.25	3457.02	33092.9	27333.9	44748.8	21846.4	16171.3	7061.65	5024.8	1287.13	2683.87	1356.79	2478.91	797.329	1758.54	3251.97	2274.4	1135.73	1951.25	2433.66	1279.31	1114.53	1799.56	2224.7	1586.84	1529.78	5053.97	1521.04	2329.27	1429.37
P22455	P22455	FGFR4_HUMAN	FGFR4	Fibroblast growth factor receptor 4		764.578	351.217	1186.07		378.462	445.439				537.617	395.507	518.5	343.775	1087.93	653.794				540.709	751.185	552.546			473.988				441.02	526.15			382.887	557.139		644.221	922.579	489.297	567.074		429.4		359.709	474.262			611.812	360.75	268.354	603.834	787.697	309.618	627.386		437.556	558.637	1159.56		801.684	650.678	415.452		757.943	157.809	369.417	563.937	294.809	272.268		1034.36		558.85	385.129			372.155	256.821	422.052	776.962	607.362	724.127	808.362	423.534	587.963	451.206	313.708			514.511	1004.35	280.562		850.604	726.34	515.015	593.889	249.495	783.343	564.833	451.572	1145.33	498.998
P22626	P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	1483.73	1381.05	950.258	839.684	799.648	980.643	603.737	392.606	233.383	188.091							521.443											413.804													881.362					399.098			517.126						778.281																														687.582														4719.06			
P22681	P22681	CBL_HUMAN	CBL	E3 ubiquitin-protein ligase CBL	241.334	486.265		321.592		1169.92									1141.02	536.866		619.29		490.457	983.906	563.78			863.531		547.74	555.786	500.182												1551.53	918.632						706.431	558.272	713.716			1168.45		2753.7	414.357			1319.42		515.297		724.863	783.397			1555.75		696.684		612.036		658.09			352.054		313.433		770.729	483.121	349.953	384.916		375.978		999.651		154.015	715.743		2790.24						693.336	447.147	428.362	685.938	490.381
P22692	P22692	IBP4_HUMAN	IGFBP4	Insulin-like growth factor-binding protein 4	13288.8	16859.4	29011.9	18779.3	16844.9	16961.8	15576.7	26450.2	20251.9	16927.9	31052.9	22603	22703.4	18344.3	11902.7	24027.6	23129.6	22334.4	28732.3	15723.2	19437.1	27069.3	24266.9	40078.4	21479.8	24892.2	19160.9	18283.3	27998.4	23483.4		22925.5	22445.4	26870	16207.2	21242.3	30599.8	33393.3	31198.9	53224.2	23811.2	25632.4	21507.5	22868.3	26509	29550	25117.1	13543.2	26317.8	24209.2	19866.9	24595.1	14195.5		36112.7	24750	38752.9	28903.1	22979.4	25408.9	27537.2	32178	24512.8	34425.7	44821.5	27515.9	24900.2	27943.5	37628.9	50391.4	32964.7	41145.9	41738.2	22392.8	14510.5	12638.6	14437.1	30672.6	25621.4	39404.1	12860.7	37742	44941.5	33126.7	31835.9	44812.8	25328.3	27127.2	20759.2	20351	31605.1	21351.3	38594.8	35658.8	30380.6	14516.2	38135.7	30985.4	14522.3	25351.3	18153.7	31512.1
P22735	P22735	TGM1_HUMAN	TGM1	Protein-glutamine gamma-glutamyltransferase K	768.095	333.95	603.027	554.653	220.82	483.818	656.784	373.388	834.962	2190.59	641.085	485.758	536.401		601.399	201.934	416.628		325.332	402.938	239.816	237.875	374.293		275.69	353.936		646.447	239.447				742.889	996.41	845.34		637.49													415.904		277.296				196.538	335.346		161.827		487.283	317.374				998.268		663.103							2775.07	269.015									3123.5		1655.11	1826.61		365.671					257	729.014	733.276	446.518	185.858			
P22792	P22792	CPN2_HUMAN	CPN2	Carboxypeptidase N subunit 2	17304.1	10141.1	12185	12167.4	14064.5	8141.33	20144.4	25078.3	8629.71	20381.4	13759.1	24514.1	14628	17355	25951.9	6952.06	17992.9	8159.23	45018.2	16584	9907.15	17292.1	5848.23	9337.6	16447.9	10300.4	10977.2	18587.3	11385.8	20809.3	27627.6	8223.62	17796.2	19769.5	15418.4	11923.9	14963.4	14594.8	13830.6	19179.7	40287.8	14713.9	15008.1	7212.54	12503.7	14570.1	35853.1	4693.51	8446.83	4711.88	17700.7	4231.36	16240.9	181445	6261.7	15208.2	12495.4	4959.49	10922.6	9144.61	7791.15	2205.97	6072.7	13427.8	12023.5	4843.9	23103.6	23292.6	8120.98	14096.3	10043.5	6416.34	16005.2	28837.5	8183.68	12857.5	20685	11978.1	6728.37	9844.15	15960.1	4321.79	8753.86	5861.62	18843.3	19793.4	10044.8	8243.73	17626.4	7527.2	14213	12928.9	10268.2	8058.44	23727	8973.54	15912.9	6551.73	10957.4	20055.3	10041.9	9023.62
P22891	P22891	PROZ_HUMAN	PROZ	Vitamin K-dependent protein Z	1498.67	1935.35	609.626	1012.36	1512.46	1290.37	2891.24	1778.99	1413.68		949.763	1991.37	1086.77	2293.98	1653.01	1206.69	1963.93	1568.81	1973.7	2434.78	3892.69	933.339	997.194	1511.81	1676.43	516.753	1311.82	917.796	2122.17	1332.4		1260.95	1546.29	479.237		854.177	1340.94	1363.9	747.189	1559.74	1825.93	917.362	1381.13	1749.86	1748.48	1293.38	1113.4	630.766	701.864	1150.35	1431.08	821.352	911.171		551.916	178.743	1186.76	1065.73		1791.32	871.337	336.479	1439.31	1235.51	2182.38	1256.72	908.732	1641.75	1286.18	945.747	920.224		2309.96	2482.26	458.274	508.376	1014.82	389.875	600.202	1010.34	4375.43	739.215	1101.1		1376.64	949.655	1125.84		1518.94	848.14	776.901	708.072	789.559	735	1774.68	482.268	1061.77	1814.14	976.964	1348.68	1359.19	1226.49
P22894	P22894	MMP8_HUMAN	MMP8	Neutrophil collagenase	3858.64	3328.57	1474.19		1784.76	1555.67			2660.25	3142.12		1375.23	1713.55	3888.88	3705.05	1875.59					2226.85	4024.21	4393.37		3695.44	3726.39	1498.28	2232.93					2894.56	2657.02	3463.75		2180.83			60.1232	1986.52			3561.37			4071.89	1710.66	3617.96	1840.99	3110.35	3066.35	5156.1			3670.43	5736.39	3347.9	5991.56	1662.99	4531.01					3242.11	4172.73			4108.11	5491.59					1524.75	2479.05	1555.49		2902.1	5172.34	3233.95	3035.79	1255.53	144.913	2664.09	5807.92		3432.77	4289.77	1836.86								2474.16	2304.36	146.311	
P23083	P23083	HV102_HUMAN	IGHV1-2	Immunoglobulin heavy variable 1-2	19664.6	12917.5	5554.65	3876.3	9018.88	2255.26	7721.58	16859.5	9453.71		8629.9	9782.42	3739.88		12041	11495.1		8270.75	7821.41	22417.8	6917.44	21600.7	1987.07	8927.28	21191.7		16623.7	11473.8	12539.6	20299.9			6361.79	18612.1	12355.9	8009	12520.4	18882.3	15838.5	16952.2	40438.5	11064.5		9515.97	31036.6	6289.2	61783.8		14310.2		50052.9	3760.49	10134.1		3262.34	13119	11699.4	5131.28	22010.9	23518.6	15843.2	11728.5		28108.2	26810.5	11702.5	42765.7	13932	2817.83	23559.2	17986.4	5616.54	60417.9	83097.3	6195.09	11621.5	37516.7	24256.1	9080.46	10407.4	32389.5	2689.41	9222.21	21343.9	38468.6	16233.1	45798.4	3049.8	56756.7	18831.2	24085.1	44254.2	27391.3		24280.7	17753.6	76200.4	15310.5	5316.62	22666.7	15254.5	25657.5
